ⵏⴽⴽ	nkk	n̪əc(ː)
ⴰⵙⴳⴳⵯⴰⵙ	asggʷas	æsəɡʷːæ̝s
ⵃⵎⵓ	ḥmu	ħmu
ⵙⵎⵉⴹ	smiḍ	sˤmɪ̙̞ðˤ
ⵄⵎⵎⵔ	ɛmmr	ʕm̩ːr̩
ⵓⵊⴷⵉⴷ	ujdid	u̞ʒði̞ð
ⴰⵇⴷⵉⵎ	aqdim	ɑ̝qði̞m
ⵉⵥⵉⵍ	iẓil	ɪ̙zˤɪ̙̞l
ⴳⴰⵔ	gar	ʝæ̝r
ⵔⵛⵓ	rcu	rʃu
ⵔⴽⵓ	rku	rçu
ⵏⵎ	nm	n̪m̩
ⴰⵎⴹⵓⵡⵔ	amḍuwr	ɑ̝mðˤʊ̙(w)r̩ˤ
ⵛⵡⵓ	cwu	ʃwu
ⵃⴼⵓ	ḥfu	ħfu
ⴰⵍⴳⴳⵯⴰⵖ	alggʷaɣ	æləɡʷːɑ̝ʁ
ⴱⵣⵢ	bzy	βzi̞(j)
ⵇⵇⴰⵔ	qqar	qːɑ̝r
ⵙⵜⵉⵜⵜ	stitt	sθi̞t̪(ː)
ⴷ	d	əð
ⴱⵄⴷ	bɛd	βʕəð
ⴰⴼⴰⵙⵉ	afasi	æfæsi
ⴰⵥⵍⵎⴰⴹ	aẓlmaḍ	ɑzˤl̩mɑ̝ðˤ
ⵖⵔ	ɣr	ʁr̩
ⵢ	y	i̞(j)
ⴷ	d	əð
ⴷ	d	əð
ⵎⴽ	mk	məç
ⵄⵍⴰⵃⵇⵇ	ɛlaḥqq	ʕlɑħəq(ː)
ⵉⵙⵎ	ism	ism̩
